X,pre1,pre2,level,post
~D-~T^~P^~T|Q,[-[~D][|[^[^[~T][~P]][~T]]Q]],- ~ D | ^ ^ ~ T ~ P ~ T Q ,- ~ | D ? ^ Q ? ? ? ^ ~ ? ? ? ? ? ~ ~ T ? ? ? ? ? ? T ? P ? ? ? ? ? ? ,D ~ T ~ P ~ ^ T ~ ^ Q | - 
~E-J^~S,[-[~E][^J[~S]]],- ~ E ^ J ~ S ,- ~ ^ E ? J ~ ? ? ? ? ? S ? ,E ~ J S ~ ^ - 
~K-L-~E|Y,[-[~K][-L[|[~E]Y]]],- ~ K - L | ~ E Y ,- ~ - K ? L | ? ? ? ? ? ~ Y ? ? ? ? ? E ? ? ? ,K ~ L E ~ Y | - - 
~T^L-~J-S,[-[^[~T]L][-[~J]S]],- ^ ~ T L - ~ J S ,- ^ - ~ L ~ S T ? ? ? J ? ? ? ,T ~ L ^ J ~ S - - 
H^H|~T,[|[^HH][~T]],| ^ H H ~ T ,| ^ ~ H H T ? ,H H ^ T ~ | 
I|Z-~I,[-[|IZ][~I]],- | I Z ~ I ,- | ~ I Z I ? ,I Z | I ~ - 
~I^W^~M|~B,[|[^[^[~I]W][~M]][~B]],| ^ ^ ~ I W ~ M ~ B ,| ^ ~ ^ ~ B ? ~ W M ? ? ? ? I ? ? ? ? ? ? ? ? ? ,I ~ W ^ M ~ ^ B ~ | 
~B-C|~K,[-[~B][|C[~K]]],- ~ B | C ~ K ,- ~ | B ? C ~ ? ? ? ? ? K ? ,B ~ C K ~ | - 
M|~F-~R^O|~A,[-[|M[~F]][|[^[~R]O][~A]]],- | M ~ F | ^ ~ R O ~ A ,- | | M ~ ^ ~ ? ? F ? ~ O A ? ? ? ? ? ? R ? ? ? ? ? ? ,M F ~ | R ~ O ^ A ~ | - 
~R|~I|~C,[|[|[~R][~I]][~C]],| | ~ R ~ I ~ C ,| | ~ ~ ~ C ? R ? I ? ? ? ? ,R ~ I ~ | C ~ | 
~U^~E^D-~B,[-[^[^[~U][~E]]D][~B]],- ^ ^ ~ U ~ E D ~ B ,- ^ ~ ^ D B ? ~ ~ ? ? ? ? ? U ? E ? ? ? ? ? ? ,U ~ E ~ ^ D ^ B ~ - 
~W-G|~H|N,[-[~W][|[|G[~H]]N]],- ~ W | | G ~ H N ,- ~ | W ? | N ? ? ? G ~ ? ? ? ? ? ? ? H ? ? ? ,W ~ G H ~ | N | - 
~E^~X|~L,[|[^[~E][~X]][~L]],| ^ ~ E ~ X ~ L ,| ^ ~ ~ ~ L ? E ? X ? ? ? ? ,E ~ X ~ ^ L ~ | 
V^W^W|~K,[|[^[^VW]W][~K]],| ^ ^ V W W ~ K ,| ^ ~ ^ W K ? V W ? ? ? ? ? ,V W ^ W ^ K ~ | 
~N-N-S^E,[-[~N][-N[^SE]]],- ~ N - N ^ S E ,- ~ - N ? N ^ ? ? ? ? ? S E ,N ~ N S E ^ - - 
W|~M^Z,[|W[^[~M]Z]],| W ^ ~ M Z ,| W ^ ? ? ~ Z ? ? M ? ? ? ,W M ~ Z ^ | 
~I-~P^J,[-[~I][^[~P]J]],- ~ I ^ ~ P J ,- ~ ^ I ? ~ J ? ? ? P ? ? ? ,I ~ P ~ J ^ - 
~L^~M|~B-D,[-[|[^[~L][~M]][~B]]D],- | ^ ~ L ~ M ~ B D ,- | D ^ ~ ? ? ~ ~ B ? ? ? L ? M ? ? ? ? ? ? ,L ~ M ~ ^ B ~ | D - 
N-Q|R^H^I,[-N[|Q[^[^RH]I]]],- N | Q ^ ^ R H I ,- N | ? ? Q ^ ? ? ? ? ^ I ? ? ? ? R H ? ? ,N Q R H ^ I ^ | - 
~Z^~P^Q,[^[^[~Z][~P]]Q],^ ^ ~ Z ~ P Q ,^ ^ Q ~ ~ ? ? Z ? P ? ? ? ,Z ~ P ~ ^ Q ^ 
Q|~L-~K,[-[|Q[~L]][~K]],- | Q ~ L ~ K ,- | ~ Q ~ K ? ? ? L ? ? ? ? ,Q L ~ | K ~ - 
~K-Y-~C,[-[~K][-Y[~C]]],- ~ K - Y ~ C ,- ~ - K ? Y ~ ? ? ? ? ? C ? ,K ~ Y C ~ - - 
S-Y|~V-~H,[-S[-[|Y[~V]][~H]]],- S - | Y ~ V ~ H ,- S - ? ? | ~ ? ? Y ~ H ? ? ? ? ? V ? ? ? ? ,S Y V ~ | H ~ - - 
~C-~W-J|A,[-[~C][-[~W][|JA]]],- ~ C - ~ W | J A ,- ~ - C ? ~ | ? ? ? W ? J A ,C ~ W ~ J A | - - 
W-~P^~S,[-W[^[~P][~S]]],- W ^ ~ P ~ S ,- W ^ ? ? ~ ~ ? ? P ? S ? ,W P ~ S ~ ^ - 
G|~W-Q|~K^~H,[-[|G[~W]][|Q[^[~K][~H]]]],- | G ~ W | Q ^ ~ K ~ H ,- | | G ~ Q ^ ? ? W ? ? ? ~ ~ ? ? ? ? ? ? ? K ? H ? ,G W ~ | Q K ~ H ~ ^ | - 
X|~Z^W^~F^~W,[|X[^[^[^[~Z]W][~F]][~W]]],| X ^ ^ ^ ~ Z W ~ F ~ W ,| X ^ ? ? ^ ~ ? ? ^ ~ W ? ? ? ~ W F ? ? ? ? ? ? Z ? ? ? ? ? ? ? ? ? ,X Z ~ W ^ F ~ ^ W ~ ^ | 
~M^~S-~J-P-K,[-[^[~M][~S]][-[~J][-PK]]],- ^ ~ M ~ S - ~ J - P K ,- ^ - ~ ~ ~ - M ? S ? J ? P K ,M ~ S ~ ^ J ~ P K - - - 
W^~N^Q^~F,[^[^[^W[~N]]Q][~F]],^ ^ ^ W ~ N Q ~ F ,^ ^ ~ ^ Q F ? W ~ ? ? ? ? ? ? ? N ? ? ? ? ? ? ,W N ~ ^ Q ^ F ~ ^ 
J^V^W|M,[|[^[^JV]W]M],| ^ ^ J V W M ,| ^ M ^ W ? ? J V ? ? ? ? ,J V ^ W ^ M | 
C^~R^~T^~T|~M,[|[^[^[^C[~R]][~T]][~T]][~M]],| ^ ^ ^ C ~ R ~ T ~ T ~ M ,| ^ ~ ^ ~ M ? ^ ~ T ? ? ? ? C ~ T ? ? ? ? ? ? ? ? ? R ? ? ? ? ? ? ? ? ? ? ,C R ~ ^ T ~ ^ T ~ ^ M ~ | 
B^Q^H,[^[^BQ]H],^ ^ B Q H ,^ ^ H B Q ? ? ,B Q ^ H ^ 
J^~Z^F,[^[^J[~Z]]F],^ ^ J ~ Z F ,^ ^ F J ~ ? ? ? ? Z ? ? ? ,J Z ~ ^ F ^ 
M|X-S^I,[-[|MX][^SI]],- | M X ^ S I ,- | ^ M X S I ,M X | S I ^ - 
Y^~K-U-~B^U,[-[^Y[~K]][-U[^[~B]U]]],- ^ Y ~ K - U ^ ~ B U ,- ^ - Y ~ U ^ ? ? K ? ? ? ~ U ? ? ? ? ? ? ? B ? ? ? ,Y K ~ ^ U B ~ U ^ - - 
~N-K^~O|Q|~L,[-[~N][|[|[^K[~O]]Q][~L]]],- ~ N | | ^ K ~ O Q ~ L ,- ~ | N ? | ~ ? ? ? ^ Q L ? ? ? ? K ~ ? ? ? ? ? ? ? ? ? ? O ? ? ? ? ? ? ,N ~ K O ~ ^ Q | L ~ | - 
F|S|~Z^~H,[|[|FS][^[~Z][~H]]],| | F S ^ ~ Z ~ H ,| | ^ F S ~ ~ ? ? ? ? Z ? H ? ,F S | Z ~ H ~ ^ | 
~U^~T|~D|S,[|[|[^[~U][~T]][~D]]S],| | ^ ~ U ~ T ~ D S ,| | S ^ ~ ? ? ~ ~ D ? ? ? U ? T ? ? ? ? ? ? ,U ~ T ~ ^ D ~ | S | 
R^L^~L|N^F,[|[^[^RL][~L]][^NF]],| ^ ^ R L ~ L ^ N F ,| ^ ^ ^ ~ N F R L L ? ? ? ? ? ,R L ^ L ~ ^ N F ^ | 
Q-T|A-J-~H,[-Q[-[|TA][-J[~H]]]],- Q - | T A - J ~ H ,- Q - ? ? | - ? ? T A J ~ ? ? ? ? ? ? ? ? H ? ,Q T A | J H ~ - - - 
I^~S|G-Y-~V,[-[|[^I[~S]]G][-Y[~V]]],- | ^ I ~ S G - Y ~ V ,- | - ^ G Y ~ I ~ ? ? ? ? V ? ? ? S ? ? ? ? ? ? ? ? ,I S ~ ^ G | Y V ~ - - 
~W|W|~A^O-~D,[-[|[|[~W]W][^[~A]O]][~D]],- | | ~ W W ^ ~ A O ~ D ,- | ~ | ^ D ? ~ W ~ O ? ? ? W ? ? ? A ? ? ? ? ? ? ,W ~ W | A ~ O ^ | D ~ - 
Y|~M^Z,[|Y[^[~M]Z]],| Y ^ ~ M Z ,| Y ^ ? ? ~ Z ? ? M ? ? ? ,Y M ~ Z ^ | 
G^P|~G,[|[^GP][~G]],| ^ G P ~ G ,| ^ ~ G P G ? ,G P ^ G ~ | 
N|C-~J|~T|M,[-[|NC][|[|[~J][~T]]M]],- | N C | | ~ J ~ T M ,- | | N C | M ? ? ? ? ~ ~ ? ? ? ? ? ? J ? T ? ? ? ,N C | J ~ T ~ | M | - 
Q-~Q^R^~O,[-Q[^[^[~Q]R][~O]]],- Q ^ ^ ~ Q R ~ O ,- Q ^ ? ? ^ ~ ? ? ~ R O ? ? ? Q ? ? ? ? ? ? ,Q Q ~ R ^ O ~ ^ - 
~G-I^H,[-[~G][^IH]],- ~ G ^ I H ,- ~ ^ G ? I H ,G ~ I H ^ - 
Y-A|Z,[-Y[|AZ]],- Y | A Z ,- Y | ? ? A Z ,Y A Z | - 
~C^O-T,[-[^[~C]O]T],- ^ ~ C O T ,- ^ T ~ O ? ? C ? ? ? ? ? ,C ~ O ^ T - 
V|~X-W,[-[|V[~X]]W],- | V ~ X W ,- | W V ~ ? ? ? ? X ? ? ? ,V X ~ | W - 
V-B|~O-D^M,[-V[-[|B[~O]][^DM]]],- V - | B ~ O ^ D M ,- V - ? ? | ^ ? ? B ~ D M ? ? ? ? O ? ? ? ? ? ,V B O ~ | D M ^ - - 
N|~J-H-~Y-~Q,[-[|N[~J]][-H[-[~Y][~Q]]]],- | N ~ J - H - ~ Y ~ Q ,- | - N ~ H - ? ? J ? ? ? ~ ~ ? ? ? ? ? ? ? Y ? Q ? ,N J ~ | H Y ~ Q ~ - - - 
~V-~N|H-C,[-[~V][-[|[~N]H]C]],- ~ V - | ~ N H C ,- ~ - V ? | C ? ? ? ~ H ? ? ? ? ? N ? ? ? ? ? ,V ~ N ~ H | C - - 
O|Z-H|~X^O,[-[|OZ][|H[^[~X]O]]],- | O Z | H ^ ~ X O ,- | | O Z H ^ ? ? ? ? ? ? ~ O ? ? ? ? ? ? X ? ? ? ,O Z | H X ~ O ^ | - 
Q^R|~L^~Q|F,[|[|[^QR][^[~L][~Q]]]F],| | ^ Q R ^ ~ L ~ Q F ,| | F ^ ^ ? ? Q R ~ ~ ? ? ? ? ? ? L ? Q ? ? ? ,Q R ^ L ~ Q ~ ^ | F | 
U-C|A,[-U[|CA]],- U | C A ,- U | ? ? C A ,U C A | - 
H|~J-N^K,[-[|H[~J]][^NK]],- | H ~ J ^ N K ,- | ^ H ~ N K ? ? J ? ? ? ? ? ,H J ~ | N K ^ - 
~L^S|I|R|X,[|[|[|[^[~L]S]I]R]X],| | | ^ ~ L S I R X ,| | X | R ? ? ^ I ? ? ? ? ~ S ? ? ? ? ? ? L ? ? ? ? ? ? ? ? ? ,L ~ S ^ I | R | X | 
D^S|~F|~F|~K,[|[|[|[^DS][~F]][~F]][~K]],| | | ^ D S ~ F ~ F ~ K ,| | ~ | ~ K ? ^ ~ F ? ? ? ? D S F ? ? ? ? ? ? ? ,D S ^ F ~ | F ~ | K ~ | 
~D^~Z-E|K-X,[-[^[~D][~Z]][-[|EK]X]],- ^ ~ D ~ Z - | E K X ,- ^ - ~ ~ | X D ? Z ? E K ? ? ,D ~ Z ~ ^ E K | X - - 
~J^~K|~G|~N,[|[|[^[~J][~K]][~G]][~N]],| | ^ ~ J ~ K ~ G ~ N ,| | ~ ^ ~ N ? ~ ~ G ? ? ? ? J ? K ? ? ? ? ? ? ? ,J ~ K ~ ^ G ~ | N ~ | 
~U-F-~F-O^~B,[-[~U][-F[-[~F][^O[~B]]]]],- ~ U - F - ~ F ^ O ~ B ,- ~ - U ? F - ? ? ? ? ? ~ ^ ? ? ? ? ? F ? O ~ ? ? ? ? ? ? ? ? ? ? B ? ,U ~ F F ~ O B ~ ^ - - - 
W^~H^O,[^[^W[~H]]O],^ ^ W ~ H O ,^ ^ O W ~ ? ? ? ? H ? ? ? ,W H ~ ^ O ^ 
~J|J-L^D^~J,[-[|[~J]J][^[^LD][~J]]],- | ~ J J ^ ^ L D ~ J ,- | ^ ~ J ^ ~ J ? ? ? L D J ? ,J ~ J | L D ^ J ~ ^ - 
~Q-~K|C,[-[~Q][|[~K]C]],- ~ Q | ~ K C ,- ~ | Q ? ~ C ? ? ? K ? ? ? ,Q ~ K ~ C | - 
~Z^Z^R|~L|~Z,[|[|[^[^[~Z]Z]R][~L]][~Z]],| | ^ ^ ~ Z Z R ~ L ~ Z ,| | ~ ^ ~ Z ? ^ R L ? ? ? ? ~ Z ? ? ? ? ? ? ? ? Z ? ? ? ? ? ? ? ? ? ? ? ,Z ~ Z ^ R ^ L ~ | Z ~ | 
K-~L|V,[-K[|[~L]V]],- K | ~ L V ,- K | ? ? ~ V ? ? L ? ? ? ,K L ~ V | - 
S^Y|I-~Q,[-[|[^SY]I][~Q]],- | ^ S Y I ~ Q ,- | ~ ^ I Q ? S Y ? ? ? ? ? ,S Y ^ I | Q ~ - 
J|~T-~L,[-[|J[~T]][~L]],- | J ~ T ~ L ,- | ~ J ~ L ? ? ? T ? ? ? ? ,J T ~ | L ~ - 
A|~F-~A^~W|~V,[-[|A[~F]][|[^[~A][~W]][~V]]],- | A ~ F | ^ ~ A ~ W ~ V ,- | | A ~ ^ ~ ? ? F ? ~ ~ V ? ? ? ? ? ? A ? W ? ? ? ? ,A F ~ | A ~ W ~ ^ V ~ | - 
R|Q-~D-S,[-[|RQ][-[~D]S]],- | R Q - ~ D S ,- | - R Q ~ S ? ? ? ? D ? ? ? ,R Q | D ~ S - - 
~F|~N-J,[-[|[~F][~N]]J],- | ~ F ~ N J ,- | J ~ ~ ? ? F ? N ? ? ? ,F ~ N ~ | J - 
R-~U-~D^~Y|~P,[-R[-[~U][|[^[~D][~Y]][~P]]]],- R - ~ U | ^ ~ D ~ Y ~ P ,- R - ? ? ~ | ? ? U ? ^ ~ ? ? ? ? ? ~ ~ P ? ? ? ? ? ? D ? Y ? ? ? ? ,R U ~ D ~ Y ~ ^ P ~ | - - 
~B-R|H^U,[-[~B][|R[^HU]]],- ~ B | R ^ H U ,- ~ | B ? R ^ ? ? ? ? ? H U ,B ~ R H U ^ | - 
H^~M|~L-G|~F,[-[|[^H[~M]][~L]][|G[~F]]],- | ^ H ~ M ~ L | G ~ F ,- | | ^ ~ G ~ H ~ L ? ? ? F ? ? ? M ? ? ? ? ? ? ? ? ? ,H M ~ ^ L ~ | G F ~ | - 
~K-~J-I,[-[~K][-[~J]I]],- ~ K - ~ J I ,- ~ - K ? ~ I ? ? ? J ? ? ? ,K ~ J ~ I - - 
Z^~A^~X|~U|H,[|[|[^[^Z[~A]][~X]][~U]]H],| | ^ ^ Z ~ A ~ X ~ U H ,| | H ^ ~ ? ? ^ ~ U ? ? ? Z ~ X ? ? ? ? ? ? ? ? A ? ? ? ? ? ? ? ? ? ,Z A ~ ^ X ~ ^ U ~ | H | 
~F-~S-~J^C,[-[~F][-[~S][^[~J]C]]],- ~ F - ~ S ^ ~ J C ,- ~ - F ? ~ ^ ? ? ? S ? ~ C ? ? ? ? ? ? J ? ? ? ,F ~ S ~ J ~ C ^ - - 
Q^M^J^R^~F,[^[^[^[^QM]J]R][~F]],^ ^ ^ ^ Q M J R ~ F ,^ ^ ~ ^ R F ? ^ J ? ? ? ? ? Q M ? ? ? ? ? ? ? ,Q M ^ J ^ R ^ F ~ ^ 
V^L|D-L,[-[|[^VL]D]L],- | ^ V L D L ,- | L ^ D ? ? V L ? ? ? ? ,V L ^ D | L - 
~H^B-I^~W|~Y,[-[^[~H]B][|[^I[~W]][~Y]]],- ^ ~ H B | ^ I ~ W ~ Y ,- ^ | ~ B ^ ~ H ? ? ? I ~ Y ? ? ? ? ? ? ? ? W ? ? ? ? ,H ~ B ^ I W ~ ^ Y ~ | - 
M|~F^~F,[|M[^[~F][~F]]],| M ^ ~ F ~ F ,| M ^ ? ? ~ ~ ? ? F ? F ? ,M F ~ F ~ ^ | 
Y^Q|C,[|[^YQ]C],| ^ Y Q C ,| ^ C Y Q ? ? ,Y Q ^ C | 
~J|I-~O,[-[|[~J]I][~O]],- | ~ J I ~ O ,- | ~ ~ I O ? J ? ? ? ? ? ? ,J ~ I | O ~ - 
R|K^~E^~K,[|R[^[^K[~E]][~K]]],| R ^ ^ K ~ E ~ K ,| R ^ ? ? ^ ~ ? ? K ~ K ? ? ? ? ? E ? ? ? ? ,R K E ~ ^ K ~ ^ | 
X^E^~U,[^[^XE][~U]],^ ^ X E ~ U ,^ ^ ~ X E U ? ,X E ^ U ~ ^ 
C-~M-J^O,[-C[-[~M][^JO]]],- C - ~ M ^ J O ,- C - ? ? ~ ^ ? ? M ? J O ,C M ~ J O ^ - - 
~F^R^D|P,[|[^[^[~F]R]D]P],| ^ ^ ~ F R D P ,| ^ P ^ D ? ? ~ R ? ? ? ? F ? ? ? ? ? ? ? ,F ~ R ^ D ^ P | 
~J|U^T|C|B,[|[|[|[~J][^UT]]C]B],| | | ~ J ^ U T C B ,| | B | C ? ? ~ ^ ? ? ? ? J ? U T ? ? ? ? ,J ~ U T ^ | C | B | 
M^~B^~U,[^[^M[~B]][~U]],^ ^ M ~ B ~ U ,^ ^ ~ M ~ U ? ? ? B ? ? ? ? ,M B ~ ^ U ~ ^ 
R^R^~R^T,[^[^[^RR][~R]]T],^ ^ ^ R R ~ R T ,^ ^ T ^ ~ ? ? R R R ? ? ? ,R R ^ R ~ ^ T ^ 
E|H|~K,[|[|EH][~K]],| | E H ~ K ,| | ~ E H K ? ,E H | K ~ | 
H-~Y^~S|G|~Z,[-H[|[|[^[~Y][~S]]G][~Z]]],- H | | ^ ~ Y ~ S G ~ Z ,- H | ? ? | ~ ? ? ^ G Z ? ? ? ~ ~ ? ? ? ? ? ? ? Y ? S ? ? ? ? ? ? ,H Y ~ S ~ ^ G | Z ~ | - 
~C|~Z-J-A,[-[|[~C][~Z]][-JA]],- | ~ C ~ Z - J A ,- | - ~ ~ J A C ? Z ? ? ? ? ? ,C ~ Z ~ | J A - - 
~E^D-~J,[-[^[~E]D][~J]],- ^ ~ E D ~ J ,- ^ ~ ~ D J ? E ? ? ? ? ? ? ,E ~ D ^ J ~ - 
O|F-X^~G-~C,[-[|OF][-[^X[~G]][~C]]],- | O F - ^ X ~ G ~ C ,- | - O F ^ ~ ? ? ? ? X ~ C ? ? ? ? ? ? ? G ? ? ? ? ,O F | X G ~ ^ C ~ - - 
D-~I|C,[-D[|[~I]C]],- D | ~ I C ,- D | ? ? ~ C ? ? I ? ? ? ,D I ~ C | - 
C|N^O-~X^Y,[-[|C[^NO]][^[~X]Y]],- | C ^ N O ^ ~ X Y ,- | ^ C ^ ~ Y ? ? N O X ? ? ? ,C N O ^ | X ~ Y ^ - 
J-~Y^F,[-J[^[~Y]F]],- J ^ ~ Y F ,- J ^ ? ? ~ F ? ? Y ? ? ? ,J Y ~ F ^ - 
K-R-~I-~A,[-K[-R[-[~I][~A]]]],- K - R - ~ I ~ A ,- K - ? ? R - ? ? ? ? ~ ~ ? ? ? ? I ? A ? ,K R I ~ A ~ - - - 
~U^Z-~F-~Y,[-[^[~U]Z][-[~F][~Y]]],- ^ ~ U Z - ~ F ~ Y ,- ^ - ~ Z ~ ~ U ? ? ? F ? Y ? ,U ~ Z ^ F ~ Y ~ - - 
Q^~W^~I^~V|~Q,[|[^[^[^Q[~W]][~I]][~V]][~Q]],| ^ ^ ^ Q ~ W ~ I ~ V ~ Q ,| ^ ~ ^ ~ Q ? ^ ~ V ? ? ? ? Q ~ I ? ? ? ? ? ? ? ? ? W ? ? ? ? ? ? ? ? ? ? ,Q W ~ ^ I ~ ^ V ~ ^ Q ~ | 
M|C^~Z,[|M[^C[~Z]]],| M ^ C ~ Z ,| M ^ ? ? C ~ ? ? ? ? Z ? ,M C Z ~ ^ | 
~X-W-C^D|~H,[-[~X][-W[|[^CD][~H]]]],- ~ X - W | ^ C D ~ H ,- ~ - X ? W | ? ? ? ? ? ^ ~ ? ? ? ? ? C D H ? ,X ~ W C D ^ H ~ | - - 
~Z^C^T,[^[^[~Z]C]T],^ ^ ~ Z C T ,^ ^ T ~ C ? ? Z ? ? ? ? ? ,Z ~ C ^ T ^ 
X-V^~O|~Y|S,[-X[|[|[^V[~O]][~Y]]S]],- X | | ^ V ~ O ~ Y S ,- X | ? ? | S ? ? ^ ~ ? ? ? ? V ~ Y ? ? ? ? ? ? ? O ? ? ? ? ? ? ,X V O ~ ^ Y ~ | S | - 
~R-T^~L,[-[~R][^T[~L]]],- ~ R ^ T ~ L ,- ~ ^ R ? T ~ ? ? ? ? ? L ? ,R ~ T L ~ ^ - 
~F^~P|~V,[|[^[~F][~P]][~V]],| ^ ~ F ~ P ~ V ,| ^ ~ ~ ~ V ? F ? P ? ? ? ? ,F ~ P ~ ^ V ~ | 
X-~G|T^~B|~R,[-X[|[|[~G][^T[~B]]][~R]]],- X | | ~ G ^ T ~ B ~ R ,- X | ? ? | ~ ? ? ~ ^ R ? ? ? G ? T ~ ? ? ? ? ? ? ? ? ? ? B ? ? ? ? ,X G ~ T B ~ ^ | R ~ | - 
D|N|E,[|[|DN]E],| | D N E ,| | E D N ? ? ,D N | E | 
U|~Z|~J,[|[|U[~Z]][~J]],| | U ~ Z ~ J ,| | ~ U ~ J ? ? ? Z ? ? ? ? ,U Z ~ | J ~ | 
~O|X|~P^~P^N,[|[|[~O]X][^[^[~P][~P]]N]],| | ~ O X ^ ^ ~ P ~ P N ,| | ^ ~ X ^ N O ? ? ? ~ ~ ? ? ? ? ? ? ? P ? P ? ? ? ,O ~ X | P ~ P ~ ^ N ^ | 
~L|~J|~N^I,[|[|[~L][~J]][^[~N]I]],| | ~ L ~ J ^ ~ N I ,| | ^ ~ ~ ~ I L ? J ? N ? ? ? ,L ~ J ~ | N ~ I ^ | 
D-~B|~M^~S|O,[-D[|[|[~B][^[~M][~S]]]O]],- D | | ~ B ^ ~ M ~ S O ,- D | ? ? | O ? ? ~ ^ ? ? ? ? B ? ~ ~ ? ? ? ? ? ? ? M ? S ? ? ? ,D B ~ M ~ S ~ ^ | O | - 
M-Z^M-~P-M,[-M[-[^ZM][-[~P]M]]],- M - ^ Z M - ~ P M ,- M - ? ? ^ - ? ? Z M ~ M ? ? ? ? ? ? P ? ? ? ,M Z M ^ P ~ M - - - 
~F-~H^~R-~R,[-[~F][-[^[~H][~R]][~R]]],- ~ F - ^ ~ H ~ R ~ R ,- ~ - F ? ^ ~ ? ? ? ~ ~ R ? ? ? ? H ? R ? ? ? ? ,F ~ H ~ R ~ ^ R ~ - - 
D-T^U,[-D[^TU]],#NAME?,- D ^ ? ? T U ,D T U ^ - 
~H|K^~Z,[|[~H][^K[~Z]]],| ~ H ^ K ~ Z ,| ~ ^ H ? K ~ ? ? ? ? ? Z ? ,H ~ K Z ~ ^ | 
~G|~C^T,[|[~G][^[~C]T]],| ~ G ^ ~ C T ,| ~ ^ G ? ~ T ? ? ? C ? ? ? ,G ~ C ~ T ^ | 
~E^K-W,[-[^[~E]K]W],- ^ ~ E K W ,- ^ W ~ K ? ? E ? ? ? ? ? ,E ~ K ^ W - 
~H|~O-X-~E^A,[-[|[~H][~O]][-X[^[~E]A]]],- | ~ H ~ O - X ^ ~ E A ,- | - ~ ~ X ^ H ? O ? ? ? ~ A ? ? ? ? ? ? ? ? E ? ? ? ,H ~ O ~ | X E ~ A ^ - - 
A-A^~W,[-A[^A[~W]]],- A ^ A ~ W ,- A ^ ? ? A ~ ? ? ? ? W ? ,A A W ~ ^ - 
~M^K|X,[|[^[~M]K]X],| ^ ~ M K X ,| ^ X ~ K ? ? M ? ? ? ? ? ,M ~ K ^ X | 
~M-Q-~E,[-[~M][-Q[~E]]],- ~ M - Q ~ E ,- ~ - M ? Q ~ ? ? ? ? ? E ? ,M ~ Q E ~ - - 
~G|V|C,[|[|[~G]V]C],| | ~ G V C ,| | C ~ V ? ? G ? ? ? ? ? ,G ~ V | C | 
~W-~D-~I^~Y,[-[~W][-[~D][^[~I][~Y]]]],- ~ W - ~ D ^ ~ I ~ Y ,- ~ - W ? ~ ^ ? ? ? D ? ~ ~ ? ? ? ? ? ? I ? Y ? ,W ~ D ~ I ~ Y ~ ^ - - 
P^Z-C,[-[^PZ]C],- ^ P Z C ,- ^ C P Z ? ? ,P Z ^ C - 
D|~M-D,[-[|D[~M]]D],- | D ~ M D ,- | D D ~ ? ? ? ? M ? ? ? ,D M ~ | D - 
W-V^T,[-W[^VT]],#NAME?,- W ^ ? ? V T ,W V T ^ - 
~T-~L^~K-B,[-[~T][-[^[~L][~K]]B]],- ~ T - ^ ~ L ~ K B ,- ~ - T ? ^ B ? ? ? ~ ~ ? ? ? ? ? L ? K ? ? ? ,T ~ L ~ K ~ ^ B - - 
~L-~I-~X,[-[~L][-[~I][~X]]],- ~ L - ~ I ~ X ,- ~ - L ? ~ ~ ? ? ? I ? X ? ,L ~ I ~ X ~ - - 
~B-B|A^B^~L,[-[~B][|B[^[^AB][~L]]]],- ~ B | B ^ ^ A B ~ L ,- ~ | B ? B ^ ? ? ? ? ? ^ ~ ? ? ? ? ? A B L ? ,B ~ B A B ^ L ~ ^ | - 
J|J^J^~L,[|J[^[^JJ][~L]]],| J ^ ^ J J ~ L ,| J ^ ? ? ^ ~ ? ? J J L ? ,J J J ^ L ~ ^ | 
~S|~S|E,[|[|[~S][~S]]E],| | ~ S ~ S E ,| | E ~ ~ ? ? S ? S ? ? ? ,S ~ S ~ | E | 
Y|~G^~R-Y,[-[|Y[^[~G][~R]]]Y],- | Y ^ ~ G ~ R Y ,- | Y Y ^ ? ? ? ? ~ ~ ? ? ? ? G ? R ? ? ? ,Y G ~ R ~ ^ | Y - 
~X|~U|Y-B-~L,[-[|[|[~X][~U]]Y][-B[~L]]],- | | ~ X ~ U Y - B ~ L ,- | - | Y B ~ ~ ~ ? ? ? ? L ? X ? U ? ? ? ? ? ? ? ? ,X ~ U ~ | Y | B L ~ - - 
F-A-M^X,[-F[-A[^MX]]],#NAME?,- F - ? ? A ^ ? ? ? ? M X ,F A M X ^ - - 
~H^~E-~W-~A-~J,[-[^[~H][~E]][-[~W][-[~A][~J]]]],- ^ ~ H ~ E - ~ W - ~ A ~ J ,- ^ - ~ ~ ~ - H ? E ? W ? ~ ~ ? ? ? ? ? ? ? ? ? A ? J ? ,H ~ E ~ ^ W ~ A ~ J ~ - - - 
A^~N-~V|~M|S,[-[^A[~N]][|[|[~V][~M]]S]],- ^ A ~ N | | ~ V ~ M S ,- ^ | A ~ | S ? ? N ? ~ ~ ? ? ? ? ? ? ? V ? M ? ? ? ,A N ~ ^ V ~ M ~ | S | - 
X^~H^Z|~C,[|[^[^X[~H]]Z][~C]],| ^ ^ X ~ H Z ~ C ,| ^ ~ ^ Z C ? X ~ ? ? ? ? ? ? ? H ? ? ? ? ? ? ,X H ~ ^ Z ^ C ~ | 
T-~M^S,[-T[^[~M]S]],- T ^ ~ M S ,- T ^ ? ? ~ S ? ? M ? ? ? ,T M ~ S ^ - 
~C-~I-F-Y,[-[~C][-[~I][-FY]]],- ~ C - ~ I - F Y ,- ~ - C ? ~ - ? ? ? I ? F Y ,C ~ I ~ F Y - - - 
